交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2019-11-29	000619	海螺型材	5.46	5.41	-0.92	10,507,388.70	200.37
2019-11-29	000620	新华联	5.14	5.22	1.56	75,804,067.16	8.35
2019-11-29	000622	恒立实业	4.49	4.48	-0.22	24,207,188.26	605.41
2019-11-29	000623	吉林敖东	15.35	15.45	0.65	44,809,830.42	19.21
2019-11-29	000625	长安汽车	8.31	8.52	2.53	234,346,184.32	60.13
2019-11-29	000626	远大控股	7.15	7.22	0.98	5,177,905.00	83.28
2019-11-29	000627	天茂集团	6.64	6.70	0.90	50,255,197.08	24.95
2019-11-29	000628	高新发展	9.38	9.38	0.00	16,112,804.00	53.36
2019-11-29	000629	攀钢钒钛	2.77	2.79	0.72	43,427,397.51	7.75
2019-11-29	000630	铜陵有色	2.13	2.13	0.00	41,476,783.27	31.65
2019-11-29	000631	顺发恒业	2.71	2.70	-0.37	4,035,439.80	6.39
2019-11-29	000632	三木集团	6.27	6.12	-2.39	13,448,733.84	85.96
2019-11-29	000633	合金投资	3.87	3.88	0.26	12,616,054.02	305.51
2019-11-29	000635	英 力 特	7.33	7.30	-0.41	10,714,150.00	82.39
2019-11-29	000636	风华高科	12.95	13.26	2.39	569,301,885.23	11.67
2019-11-29	000637	茂化实华	4.09	4.14	1.22	10,831,182.02	57.74
2019-11-29	000638	万方发展	4.72	4.72	0.00	11,834,701.60	0.00
2019-11-29	000639	西王食品	4.67	4.65	-0.43	32,624,248.82	10.71
2019-11-29	000650	仁和药业	5.96	5.92	-0.67	113,423,668.21	14.47
2019-11-29	000651	格力电器	58.45	57.71	-1.27	1,955,006,450.88	13.25
2019-11-29	000652	泰达股份	3.35	3.34	-0.30	8,550,610.00	15.93
2019-11-29	000655	金岭矿业	5.14	5.14	0.00	15,669,064.66	30.45
2019-11-29	000656	金科股份	6.57	6.57	0.00	49,072,536.07	9.03
2019-11-29	000657	中钨高新	6.27	6.26	-0.16	9,228,267.68	40.54
2019-11-29	000659	珠海中富	2.63	2.62	-0.38	16,256,326.00	150.57
2019-11-29	000661	长春高新	463.73	439.00	-5.33	1,631,506,602.39	74.20
2019-11-29	000662	天夏智慧	6.21	6.26	0.81	660,845,803.33	45.36
2019-11-29	000663	永安林业	4.57	4.57	0.00	9,987,772.00	0.00
2019-11-29	000665	湖北广电	4.94	4.98	0.81	19,572,408.50	26.07
2019-11-29	000666	经纬纺机	10.45	10.50	0.48	22,253,735.16	9.44
2019-11-29	000667	美好置业	2.74	2.76	0.73	23,868,635.81	28.40
2019-11-29	000668	荣丰控股	14.85	14.80	-0.34	18,196,754.20	246.26
2019-11-29	000669	金鸿控股	3.81	3.86	1.31	19,698,588.60	0.00
2019-11-29	000670	*ST盈方	2.27	2.33	2.64	61,832,433.47	0.00
2019-11-29	000671	阳 光 城	6.92	6.92	0.00	142,408,938.69	9.29
2019-11-29	000672	上峰水泥	16.18	15.90	-1.73	305,419,826.15	8.79
2019-11-29	000673	当代东方	4.60	4.79	4.13	653,019,430.70	0.00
2019-11-29	000676	智度股份	8.55	8.34	-2.46	295,819,995.21	15.50
2019-11-29	000677	恒天海龙	3.80	3.80	0.00	99,051,398.23	2,533.33
2019-11-29	000678	襄阳轴承	6.93	6.86	-1.01	3,297,433.00	0.00
2019-11-29	000679	大连友谊	3.70	3.70	0.00	7,824,522.66	0.00
2019-11-29	000680	山推股份	3.40	3.38	-0.59	27,867,486.18	52.08
2019-11-29	000681	视觉中国	19.92	19.89	-0.15	86,978,811.09	43.38
2019-11-29	000682	东方电子	4.55	4.59	0.88	23,195,370.06	35.97
2019-11-29	000683	远兴能源	2.16	2.16	0.00	26,647,300.00	6.60
2019-11-29	000685	中山公用	7.82	7.84	0.26	14,705,421.68	16.85
2019-11-29	000686	东北证券	7.79	7.83	0.51	77,771,866.26	60.79
2019-11-29	000687	华讯方舟	6.67	6.61	-0.90	28,519,079.76	0.00
2019-11-29	000688	国城矿业	11.40	11.32	-0.70	28,124,242.36	31.79
2019-11-29	000690	宝新能源	5.72	5.73	0.17	21,504,054.79	26.94
2019-11-29	000691	亚太实业	3.68	3.72	1.09	9,179,940.50	109.41
2019-11-29	000692	惠天热电	2.85	2.83	-0.70	6,709,246.43	252.68
2019-11-29	000695	滨海能源	7.05	7.06	0.14	2,518,062.92	42.94
2019-11-29	000697	炼石航空	11.07	11.13	0.54	11,753,776.94	304.10
2019-11-29	000698	沈阳化工	3.17	3.18	0.32	5,554,482.00	22.10
2019-11-29	000700	模塑科技	3.87	3.84	-0.78	16,598,523.64	288.72
2019-11-29	000701	厦门信达	4.98	5.02	0.80	10,652,979.95	0.00
2019-11-29	000702	正虹科技	5.59	5.60	0.18	12,593,150.93	26.78
2019-11-29	000703	恒逸石化	13.63	13.93	2.20	314,373,931.86	20.18
2019-11-29	000705	浙江震元	6.19	6.22	0.48	7,124,728.00	29.33
2019-11-29	000707	ST双环	3.38	3.39	0.30	13,697,321.76	11.59
2019-11-29	000708	中信特钢	23.00	23.17	0.74	102,913,742.32	17.75
2019-11-29	000709	河钢股份	2.51	2.52	0.40	49,455,196.96	7.38
2019-11-29	000710	贝瑞基因	35.62	34.91	-1.99	166,691,613.95	46.18
2019-11-29	000711	京蓝科技	5.52	5.53	0.18	62,212,899.60	55.19
2019-11-29	000712	锦龙股份	13.19	13.28	0.68	131,926,322.30	0.00
2019-11-29	000713	丰乐种业	8.28	8.01	-3.26	221,777,222.35	64.44
2019-11-29	000715	中兴商业	5.63	5.65	0.36	5,283,019.20	26.01
2019-11-29	000716	黑芝麻	2.97	2.96	-0.34	9,754,595.00	36.86
2019-11-29	000717	韶钢松山	4.44	4.49	1.13	522,163,798.60	3.29
2019-11-29	000718	苏宁环球	3.59	3.64	1.39	17,458,588.41	10.82
2019-11-29	000719	中原传媒	6.78	6.83	0.74	10,568,971.49	9.52
2019-11-29	000720	新能泰山	5.76	5.77	0.17	75,827,982.93	6.94
2019-11-29	000721	西安饮食	3.90	3.81	-2.31	24,868,435.36	200.53
2019-11-29	000722	湖南发展	6.56	6.56	0.00	5,702,969.52	32.19
2019-11-29	000723	美锦能源	8.34	8.32	-0.24	397,875,411.36	18.94
2019-11-29	000725	京东方Ａ	3.84	3.90	1.56	2,727,733,102.18	39.51
2019-11-29	000726	鲁  泰Ａ	8.94	8.90	-0.45	9,979,815.07	9.86
2019-11-29	000727	华东科技	2.06	2.08	0.97	41,417,783.26	0.00
2019-11-29	000728	国元证券	8.31	8.36	0.60	44,959,702.99	41.97
2019-11-29	000729	燕京啤酒	6.11	6.12	0.16	43,635,336.40	95.92
2019-11-29	000731	四川美丰	5.09	5.10	0.20	6,223,279.00	13.74
2019-11-29	000732	泰禾集团	5.64	5.66	0.35	58,440,457.92	5.51
2019-11-29	000733	振华科技	14.80	15.19	2.64	88,473,849.27	30.20
2019-11-29	000735	罗 牛 山	9.12	9.12	0.00	117,267,660.06	27.01
2019-11-29	000736	中交地产	6.45	6.44	-0.16	4,021,054.24	4.25
2019-11-29	000737	ST南风	2.74	2.74	0.00	2,124,700.48	5.63
2019-11-29	000738	航发控制	12.74	12.81	0.55	31,848,092.86	56.58
2019-11-29	000739	普洛药业	13.62	13.69	0.51	264,462,867.38	43.54
2019-11-29	000750	国海证券	4.58	4.63	1.09	104,580,778.45	266.09
2019-11-29	000751	锌业股份	3.01	3.01	0.00	9,895,780.00	80.05
2019-11-29	000752	*ST西发	3.63	3.66	0.83	2,068,318.00	0.00
2019-11-29	000753	漳州发展	2.81	2.82	0.36	6,050,256.58	30.36
2019-11-29	000755	山西路桥	3.72	3.78	1.61	11,265,703.00	36.56
2019-11-29	000756	新华制药	6.92	6.91	-0.14	11,629,121.90	17.13
2019-11-29	000757	浩物股份	4.35	4.38	0.69	4,583,549.80	33.49
2019-11-29	000758	中色股份	4.03	4.05	0.50	18,871,720.03	66.61
2019-11-29	000759	中百集团	6.51	6.57	0.92	10,615,855.00	10.38
2019-11-29	000760	*ST斯太	1.49	1.49	0.00	19,562,914.40	0.00
2019-11-29	000761	本钢板材	3.62	3.63	0.28	6,323,881.47	13.57
2019-11-29	000762	西藏矿业	6.86	7.07	3.06	56,112,935.27	0.00
2019-11-29	000766	通化金马	6.75	6.46	-4.30	100,802,879.57	18.87
2019-11-29	000767	漳泽电力	2.37	2.37	0.00	4,876,868.48	22.83
2019-11-29	000768	中航飞机	15.76	15.90	0.89	200,522,897.88	78.87
2019-11-29	000776	广发证券	13.29	13.34	0.38	144,396,186.33	23.64
2019-11-29	000777	中核科技	11.56	11.56	0.00	19,441,977.93	43.04
2019-11-29	000778	新兴铸管	3.98	3.98	0.00	44,132,775.18	7.56
2019-11-29	000779	甘咨询	9.96	9.85	-1.10	6,252,401.80	15.79
